2020-02-08 03:50:39.127629 Epoch=0, ue_idx=0~4, PF ues_rate:[avg=1403.7646694079797,worst=129.41176470588235], RL ues_rate:[avg=1417.751950034068,worst=258.8235294117647]
2020-02-08 03:57:43.256164 Epoch=1, ue_idx=1~5, PF ues_rate:[avg=326.57200954084675,worst=169.23076923076923], RL ues_rate:[avg=518.224980181697,worst=196.92307692307693]
2020-02-08 04:02:08.115019 Epoch=2, ue_idx=2~6, PF ues_rate:[avg=247.1504931854932,worst=118.91891891891892], RL ues_rate:[avg=486.1321733498204,worst=137.5]
2020-02-08 04:06:25.011197 Epoch=3, ue_idx=3~7, PF ues_rate:[avg=257.8308593322387,worst=151.72413793103448], RL ues_rate:[avg=461.2833930704898,worst=141.93548387096774]
2020-02-08 04:11:46.862920 Epoch=4, ue_idx=4~8, PF ues_rate:[avg=241.66350078492937,worst=169.23076923076923], RL ues_rate:[avg=391.5740116587175,worst=170.35294117647058]
2020-02-08 04:18:59.223102 Epoch=5, ue_idx=5~9, PF ues_rate:[avg=283.3159927140255,worst=167.86885245901638], RL ues_rate:[avg=323.2426666666667,worst=231.68]
2020-02-08 04:25:59.519715 Epoch=6, ue_idx=6~10, PF ues_rate:[avg=321.1675675675676,worst=152.64864864864865], RL ues_rate:[avg=318.3448441929706,worst=166.11764705882354]
2020-02-08 04:35:24.599949 Epoch=7, ue_idx=7~11, PF ues_rate:[avg=2090.0552632180493,worst=171.15151515151516], RL ues_rate:[avg=1844.6192036585533,worst=137.7560975609756]
2020-02-08 04:44:50.400908 Epoch=8, ue_idx=8~12, PF ues_rate:[avg=2344.2971915001767,worst=201.71428571428572], RL ues_rate:[avg=1972.2182204720605,worst=282.4]
2020-02-08 04:52:44.860481 Epoch=9, ue_idx=9~13, PF ues_rate:[avg=1593.525847733781,worst=194.6341463414634], RL ues_rate:[avg=1723.3832261394618,worst=238.2089552238806]
2020-02-08 05:06:29.578129 Epoch=10, ue_idx=10~14, PF ues_rate:[avg=1769.115387000596,worst=185.58139534883722], RL ues_rate:[avg=2953.460688380688,worst=143.78378378378378]
2020-02-08 05:20:22.210744 Epoch=11, ue_idx=11~15, PF ues_rate:[avg=1723.8316455070399,worst=166.25], RL ues_rate:[avg=2705.115024471327,worst=136.4102564102564]
2020-02-08 05:26:39.937406 Epoch=12, ue_idx=12~16, PF ues_rate:[avg=325.71981406571575,worst=133.24675324675326], RL ues_rate:[avg=476.84567484057595,worst=334.66037735849056]
2020-02-08 05:32:43.768583 Epoch=13, ue_idx=13~17, PF ues_rate:[avg=389.6772220991756,worst=104.76190476190476], RL ues_rate:[avg=438.0794117647059,worst=275.0]
2020-02-08 05:37:32.098440 Epoch=14, ue_idx=14~18, PF ues_rate:[avg=286.6303796970293,worst=123.6923076923077], RL ues_rate:[avg=409.63505247376315,worst=166.3448275862069]
2020-02-08 05:42:34.858373 Epoch=15, ue_idx=15~19, PF ues_rate:[avg=279.06397258655323,worst=125.71428571428571], RL ues_rate:[avg=358.4641604010025,worst=178.66666666666666]
2020-02-08 05:46:26.516677 Epoch=16, ue_idx=16~20, PF ues_rate:[avg=221.03575918134123,worst=141.93548387096774], RL ues_rate:[avg=250.8520833333333,worst=137.5]
2020-02-08 05:49:41.250312 Epoch=17, ue_idx=17~21, PF ues_rate:[avg=244.91405034324944,worst=40.08695652173913], RL ues_rate:[avg=285.160348583878,worst=162.96296296296296]
2020-02-08 05:53:27.545236 Epoch=18, ue_idx=18~22, PF ues_rate:[avg=307.69154704944174,worst=231.57894736842104], RL ues_rate:[avg=301.67216931216933,worst=200.0]
2020-02-08 05:58:33.192906 Epoch=19, ue_idx=19~23, PF ues_rate:[avg=943.6910822510823,worst=176.43636363636364], RL ues_rate:[avg=1000.1167418546368,worst=231.57894736842104]
2020-02-08 06:33:38.319430 Epoch=20, ue_idx=20~24, PF ues_rate:[avg=2028.2532485875704,worst=164.47457627118644], RL ues_rate:[avg=4739.905036532206,worst=32.67340067340067]
2020-02-08 07:08:16.889584 Epoch=21, ue_idx=21~25, PF ues_rate:[avg=1991.8091572135459,worst=113.86046511627907], RL ues_rate:[avg=4767.244269507245,worst=17.11888111888112]
2020-02-08 07:44:10.922992 Epoch=22, ue_idx=22~26, PF ues_rate:[avg=1682.6266429133163,worst=139.88571428571427], RL ues_rate:[avg=4766.756612488846,worst=17.611510791366907]
2020-02-08 08:32:25.556414 Epoch=23, ue_idx=23~27, PF ues_rate:[avg=3782.5106676532364,worst=181.33333333333334], RL ues_rate:[avg=3993.0551286865566,worst=12.986737400530505]
2020-02-08 08:41:50.628596 Epoch=24, ue_idx=24~28, PF ues_rate:[avg=830.9583741963604,worst=203.42857142857142], RL ues_rate:[avg=861.6643027210885,worst=153.0]
2020-02-08 10:21:44.862467 Epoch=25, ue_idx=25~29, PF ues_rate:[avg=674.2535132841015,worst=163.61904761904762], RL ues_rate:[avg=1675.8046505044372,worst=10.801517067003793]
2020-02-08 12:01:59.081061 Epoch=26, ue_idx=26~30, PF ues_rate:[avg=646.4085872448392,worst=149.3913043478261], RL ues_rate:[avg=1648.010861061813,worst=9.864661654135338]
